,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
881,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Maybe,Maybe,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom,Sometimes
882,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Yes,Maybe,Yes,No,,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,1,Sometimes,Often,28,Male,United Kingdom,Always
883,,,,,,,,,,,,,Some of my previous employers,"No, I don't think it would",Maybe,Not applicable to me (I do not have a mental illness),No,,No,Yes,Maybe,Yes,1,Sometimes,Often,29,Male,United Kingdom,Always
884,No,N/A,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,"Yes, I observed",Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,28,Female,United Kingdom,Sometimes
885,No,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,"No, at none of my previous employers","Yes, it has",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,37,Male,United Kingdom,Always
886,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,Yes,"No, at none of my previous employers",Maybe,Maybe,Neutral,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,27,Female,United Kingdom,Never
887,,,,,,,,,,,,,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Female,United Kingdom,Never
888,I don't know,N/A,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,No,,No,No,No,No,1,Not applicable to me,Not applicable to me,34,Male,United Kingdom,Sometimes
889,No,N/A,No,No,Yes,I don't know,Maybe,No,Maybe,No,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,Maybe/Not sure,Yes,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,39,Male,United Kingdom,Sometimes
890,I don't know,N/A,I don't know,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United Kingdom,Sometimes
891,No,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,Yes,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,United Kingdom,Never
892,I don't know,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,1,Not applicable to me,Not applicable to me,31,Male,United Kingdom,Never
893,I don't know,I am not sure,Yes,I don't know,Yes,Somewhat easy,Yes,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,No,,No,No,Maybe,No,0,Often,Not applicable to me,45,Male,United Kingdom,Sometimes
894,I don't know,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,"No, they do not",Somewhat open,No,,No,Yes,Yes,No,1,Rarely,Sometimes,30,Male,United Kingdom,Sometimes
895,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"Yes, it has",Maybe,Very open,No,,No,Yes,No,Yes,1,Sometimes,Often,55,Male,United Kingdom,Always
896,No,No,No,No,I don't know,I don't know,Maybe,No,Maybe,No,No,No,Some of my previous employers,Maybe,Maybe,Neutral,Maybe/Not sure,No,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,36,Male,United Kingdom,Never
897,,,,,,,,,,,,,,"Yes, I think it would","Yes, I think they would",Somewhat open,N/A,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,30,Male,United Kingdom,Sometimes
898,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I experienced",No,No,Yes,Yes,Yes,1,Never,Sometimes,46,Male,United Kingdom,Always
899,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","Yes, I think it would","No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,United Kingdom,Never
900,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,No,Yes,No,Yes,1,Never,Sometimes,48,Female,United Kingdom,Never
901,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,No,Yes,1,Never,Often,28,Male,United Kingdom,Sometimes
902,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,"Yes, I think they would",Somewhat open,"Yes, I experienced",No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Rarely,35,Male,United Kingdom,Never
903,No,N/A,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,United Kingdom,Sometimes
904,Not eligible for coverage / N/A,N/A,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,N/A,,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,38,Male,United Kingdom,Never
905,No,N/A,No,No,No,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"Yes, they do",Somewhat open,"Yes, I experienced",Maybe,No,Yes,Yes,Yes,1,Rarely,Often,29,Male,United Kingdom,Never
906,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United Kingdom,Never
907,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,34,Male,United Kingdom,Sometimes
908,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,Maybe/Not sure,No,I don't know,Maybe,No,No,0,Sometimes,Sometimes,34,Male,United Kingdom,Always
909,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Maybe,No,Yes,Yes,Yes,No,Some of my previous employers,"No, it has not","No, I don't think they would",Somewhat open,No,,Yes,Yes,Maybe,Yes,1,Never,Sometimes,39,Male,United Kingdom,Sometimes
910,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,"Yes, I experienced",Maybe,No,Yes,Maybe,Yes,1,Sometimes,Sometimes,46,Male,United Kingdom,Sometimes
911,I don't know,No,Yes,Yes,I don't know,I don't know,Yes,Maybe,No,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,N/A,Yes,Yes,Maybe,Yes,1,Not applicable to me,Often,33,Genderqueer/Other,United Kingdom,Never
912,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No,Yes,Maybe,I don't know,No,Some of my previous employers,"No, it has not","No, they do not",Somewhat open,N/A,,I don't know,Maybe,Maybe,Yes,1,Never,Never,33,Male,United Kingdom,Sometimes
913,No,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Yes,Maybe,No,No,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,I don't know,Maybe,Maybe,No,1,Rarely,Rarely,26,Male,United Kingdom,Never
914,Yes,No,No,I don't know,Yes,Very difficult,Maybe,No,No,No,No,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,38,Male,United Kingdom,Sometimes
915,Not eligible for coverage / N/A,N/A,No,Yes,I don't know,Very difficult,Yes,No,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,41,Male,United Kingdom,Never
916,No,No,Yes,Yes,Yes,Somewhat difficult,No,No,Yes,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,No,Yes,1,Rarely,Sometimes,43,Male,United Kingdom,Never
917,,,,,,,,,,,,,I don't know,Maybe,Maybe,Neutral,N/A,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United Kingdom,Sometimes
918,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,No,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,28,Male,United Kingdom,Never
919,Yes,I am not sure,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,"Yes, I observed",No,I don't know,Maybe,No,No,0,Rarely,Never,31,Male,United Kingdom,Sometimes
920,No,N/A,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,Yes,"No, at none of my previous employers","Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Often,Often,28,Genderqueer/Other,United Kingdom,Never
921,I don't know,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, they do not",Very open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Never,Sometimes,35,Male,United Kingdom,Never
922,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,44,Male,United Kingdom,Always
923,Not eligible for coverage / N/A,N/A,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,Yes,Yes,1,Rarely,Often,33,Genderqueer/Other,United Kingdom,Never
924,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat open,No,,Yes,No,Maybe,No,1,Rarely,Often,24,Male,United Kingdom,Never
925,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,No,No,,"Yes, I think it would","No, I don't think they would",Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Male,United Kingdom,Never
926,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,No,,No,No,No,No,0,Rarely,Not applicable to me,43,Male,United Kingdom,Never
927,I don't know,No,No,No,I don't know,Very difficult,Maybe,No,No,No,I don't know,No,,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,40,Male,United Kingdom,Sometimes
928,No,No,No,No,I don't know,I don't know,Yes,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),N/A,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,United Kingdom,Never
929,,,,,,,,,,,,,Some of my previous employers,"No, I don't think it would",Maybe,Not applicable to me (I do not have a mental illness),N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,United Kingdom,Always
930,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,,Maybe,Maybe,Somewhat open,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United Kingdom,Sometimes
931,I don't know,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Not applicable to me,Not applicable to me,28,Male,United Kingdom,Never
932,,,,,,,,,,,,,,Maybe,Maybe,Very open,N/A,,Yes,Yes,Yes,Yes,1,Often,Often,28,Male,United Kingdom,Always
933,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30,Male,United Kingdom,Sometimes
934,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United Kingdom,Sometimes
935,,,,,,,,,,,,,"Yes, at all of my previous employers","Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,54,Male,United Kingdom,Never
936,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,"No, I don't think they would",Somewhat open,No,,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,32,Female,United Kingdom,Always
937,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,United Kingdom,Always
938,No,N/A,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Neutral,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,45,Female,United Kingdom,Always
939,Not eligible for coverage / N/A,N/A,I don't know,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Not open at all,No,,I don't know,Yes,Yes,No,0,Not applicable to me,Sometimes,28,Female,United Kingdom,Always
940,No,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United Kingdom,Sometimes
941,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,No,Yes,Yes,No,No,,"No, I don't think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,No,No,No,0,Never,Sometimes,30,Female,United Kingdom,Sometimes
942,No,N/A,No,No,I don't know,Neither easy nor difficult,Yes,No,No,No,I don't know,Yes,"No, at none of my previous employers","Yes, it has","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,I don't know,Yes,Yes,Yes,1,Often,Often,32,Male,United Kingdom,Never
943,No,N/A,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,"Yes, I observed",No,I don't know,Maybe,Maybe,No,0,Never,Sometimes,39,Male,United Kingdom,Always
944,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat not open,No,,I don't know,Maybe,No,No,1,Never,Sometimes,34,Female,United Kingdom,Sometimes
945,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Very open,"Yes, I observed",No,No,No,No,No,0,Not applicable to me,Not applicable to me,47,Female,United Kingdom,Sometimes
946,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,48,Male,United Kingdom,Sometimes
947,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, it has not","No, they do not",Neutral,"Yes, I experienced",No,Yes,Yes,Maybe,No,0,Sometimes,Sometimes,40,Male,United Kingdom,Sometimes
948,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,1,Sometimes,Sometimes,36,Male,United Kingdom,Never
949,I don't know,I am not sure,No,No,I don't know,Very difficult,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers","Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,No,0,Not applicable to me,Often,35,Male,United Kingdom,Always
950,Yes,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,I don't know,"Yes, I think it would","Yes, I think they would",Not open at all,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,43,Female,United Kingdom,Never
951,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,I don't know,Yes,Yes,Yes,1,Not applicable to me,Often,36,Female,United Kingdom,Sometimes
952,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,0,Rarely,Often,33,Male,United Kingdom,Never
953,No,N/A,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,27,Female,United Kingdom,Never
954,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,No,,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30,Male,United Kingdom,Sometimes
955,No,N/A,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,N/A,,No,Yes,Maybe,No,0,Sometimes,Often,24,Male,United Kingdom,Never
956,Not eligible for coverage / N/A,No,No,No,No,Somewhat difficult,Yes,No,Maybe,Maybe,Yes,No,"Yes, at all of my previous employers",Maybe,Maybe,Somewhat open,No,,Yes,Yes,No,No,0,Sometimes,Often,32,Male,United Kingdom,Sometimes
957,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United Kingdom,Sometimes
958,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,United Kingdom,Never
959,I don't know,No,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,No,0,Not applicable to me,Not applicable to me,43,Male,United Kingdom,Sometimes
